anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
0,tt0042208,Emmerich's eyebrows twitch as he watches her.,His eyebrows twitch as he watches her.,"['His eyebrows twitch.', 'He watches her.']"
1,tt0042208,The woman groggily opens her eyes and sees him standing over her.,The woman groggily opens her eyes and sees him standing over her.,"['The woman groggily opens her eyes.', 'She sees him standing over her.']"
2,tt0042208,She smiles.,She smiles.,['She smiles.']
3,tt0042208,Emmerich cocks an eyebrow.,He cocks an eyebrow.,['He cocks an eyebrow.']
4,tt0042208,Her eyes follow him as he moves to an armchair.,Her eyes follow him as he moves to an armchair.,"['Her eyes follow him.', 'He moves to an armchair.']"
5,tt0042208,The blonde sits up on the sofa and smiles.,She sits up on the sofa and smiles.,"['She sits up on the sofa.', 'She smiles.']"
6,tt0042208,She stretches and yawns.,She stretches and yawns.,"['She stretches.', 'She yawns.']"
7,tt0042208,The blonde saunters over to him in her striped pantsuit and leans in for a kiss.,She saunters over to him in her striped pantsuit and leans in for a kiss.,"['She saunters over to him in her striped pantsuit.', 'She leans in for a kiss.']"
8,tt0042208,"As their lips lock, Emmerich sweeps an arm around her shoulders and dips her onto her back.","As their lips lock, he sweeps an arm around her shoulders and dips her onto her back.","['Their lips lock.', 'He sweeps an arm around her shoulders.', 'He dips her onto her back.']"
9,tt0042208,"The blonde pushes him away, then flashes a courteous smile.","She pushes him away, then flashes a courteous smile.","['She pushes him away.', 'She flashes a courteous smile.']"
10,tt0042208,"She gets up, taps his hand affectionately, and walks off.","She gets up, taps his hand affectionately, and walks off.","['She gets up.', 'She taps his hand affectionately.', 'She walks off.']"
11,tt0042208,Emmerich shakes his head as he watches her go.,He shakes his head as he watches her go.,"['He shakes his head.', 'He watches her go.']"
12,tt0042208,The blonde crosses the hall to a bedroom.,She crosses the hall to a bedroom.,['She crosses the hall to a bedroom.']
13,tt0042208,"Keeping her gaze on Emmerich, she slowly swings the door shut.","Keeping her gaze on him, she slowly swings the door shut.","['She slowly swings the door shut.', 'She keeps her gaze on him.']"
14,tt0042208,Dix takes a drag on his cigarette.,He takes a drag on his cigarette.,['He takes a drag on his cigarette.']
15,tt0042208,Doc turns.,He turns.,['He turns.']
16,tt0042208,"Louie pounds into the safe lock with his chisel and sledgehammer, then swings open the heavy outer doors.","He pounds into the safe lock with his chisel and sledgehammer, then swings open the heavy outer doors.","['He pounds into the safe lock with his chisel and sledgehammer.', 'Then he swings open the heavy outer doors.']"
17,tt0042208,Inside is a second pair of doors.,Inside is a second pair of doors.,['Inside is a second pair of doors.']
18,tt0042208,Louis selects a lockpick from his ring and quickly gets them open.,He selects a lockpick from his ring and quickly gets them open.,"['He selects a lockpick from his ring.', 'He quickly gets them open.']"
19,tt0042208,"He glances at Doc with a smile, then moves out of the way.","He glances at him with a smile, then moves out of the way.","['He glances at him with a smile.', 'He then moves out of the way.']"
20,tt0042208,The older thief crouches down to the safe and picks up the first in a stack of velvet-lined jewel cases.,He crouches down to the safe and picks up the first in a stack of velvet-lined jewel cases.,"['He crouches down to the safe.', 'He picks up the first in a stack of velvet-lined jewel cases.']"
21,tt0042208,Light reflects off rows of shiny gems.,Light reflects off rows of shiny gems.,['Light reflects off rows of shiny gems.']
22,tt0042208,"He drops the jewels into the open briefcase, then moves on to the rest of the stack.","He drops the jewels into the open briefcase, then moves on to the rest of the stack.","['He drops the jewels into the open briefcase.', 'He moves on to the rest of the stack.']"
23,tt0042208,"Standing over him, Louis picks the locks of several smaller compartments in the safe.","Standing over him, he picks the locks of several smaller compartments in the safe.","['He picks the locks of several smaller compartments in the safe.', 'He stands over him.']"
24,tt0042208,"Meanwhile, in the lobby, Dix peers through the window curtain.","Meanwhile, in the lobby, he peers through the window curtain.",['He peers through the window curtain.']
25,tt0042208,"Outside, a police car stops at the building across the street.","Outside, a police car stops at the building across the street.",['A police car stops at the building across the street.']
26,tt0042208,Several officers climb out and race up the building's front steps.,Several officers climb out and race up the building's front steps.,"['Several officers climb out.', ""They race up the building's front steps.""]"
27,tt0042208,Dix moves away from the window.,He moves away from the window.,['He moves away from the window.']
28,tt0042208,"Back in the vault, Doc empties the rest of the safe's contents into his briefcase.","Back in the vault, he empties the rest of the safe's contents into his briefcase.","[""He empties the rest of the safe's contents into his briefcase.""]"
29,tt0042208,He stands.,He stands.,['He stands.']
30,tt0042208,Doc jostles his briefcase.,He jostles his briefcase.,['He jostles his briefcase.']
31,tt0042208,Louis sets the vial inside the safe.,He sets the vial inside the safe.,['He sets the vial inside the safe.']
32,tt0042208,"Doc carries the briefcase outside the gate, gets on his back and slips underneath the invisible alarm beam.","He carries the briefcase outside the gate, gets on his back and slips underneath the invisible alarm beam.","['He carries the briefcase outside the gate.', 'He gets on his back.', 'He slips underneath the invisible alarm beam.']"
33,tt0042208,Louis slides the gate shut and follows.,He slides the gate shut and follows.,"['He slides the gate shut.', 'He follows.']"
34,tt0042208,The three criminals walk casually across the lobby to the front door.,They walk casually across the lobby to the front door.,"['They walk casually across the lobby.', 'They walk to the front door.']"
35,tt0042208,Dix opens a window hatch and peeks through.,He opens a window hatch and peeks through.,"['He opens a window hatch.', 'He peeks through.']"
36,tt0042208,"On the wall outside, the shadow of a man in a hat approaches.","On the wall outside, the shadow of him approaches.","['On the wall outside, the shadow of him approaches.']"
37,tt0042208,Dix quickly closes the hatch and faces the others.,He quickly closes the hatch and faces them.,"['He quickly closes the hatch.', 'He faces them.']"
38,tt0042208,stands beside the door as Louie grabs the handle.,He stands beside the door as he grabs the handle.,"['He stands beside the door.', 'He grabs the handle.']"
39,tt0042208,Dick socks the watchman who drops his gun.,He socks him who drops his gun.,['He socks him who drops his gun.']
40,tt0042208,The gun fires at Louie.,The gun fires at him.,['The gun fires at him.']
