anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
0,tt0583459,His umbrella springs open between them.,His umbrella springs open between them.,"['His umbrella springs open.', 'It springs open between them.']"
1,tt0583459,"He awkwardly sits down, and Joey pats his shoulder.","He awkwardly sits down, and he pats his shoulder.","['He awkwardly sits down.', 'He pats his shoulder.']"
2,tt0583459,Rachel sits next to him.,He sits next to him.,['He sits next to him.']
3,tt0583459,Monica beams and sidles back inside.,She beams and sidles back inside.,"['She beams.', 'She sidles back inside.']"
4,tt0583459,She shuts the door behind her.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']"
5,tt0583459,Rachel smiles and stands.,She smiles and stands.,"['She smiles.', 'She stands.']"
6,tt0583459,She heads into her bedroom.,She heads into her bedroom.,['She heads into her bedroom.']
7,tt0583647,Marsha slumps off as Ross waves Carol into the exhibit.,He waves her into the exhibit.,['He waves her into the exhibit.']
8,tt0583647,"He tries to adjust the caveman, and the arm falls off.","He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']"
9,tt0583647,He picks it up and uses it to wave at Carol.,He picks it up and uses it to wave at her.,"['He picks it up.', 'He uses it to wave at her.']"
10,tt0583647,She awkwardly waves back.,She awkwardly waves back.,['She awkwardly waves back.']
11,tt0583647,"She peers through the pan, then sets it down.","She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']"
12,tt0583647,"Chandler, Joey, and Phoebe dig through the dish.",They dig through the dish.,['They dig through the dish.']
13,tt0583647,Monica opens up for a slumped Ross.,He opens up for a slumped him.,"['He opens up.', 'He is slumped.']"
14,tt0583647,Phoebe holds up the sauce-covered ring.,She holds up the sauce-covered ring.,['She holds up the sauce-covered ring.']
15,tt0583647,Mrs. Geller fluffs a throw pillow.,She fluffs a throw pillow.,['She fluffs a throw pillow.']
16,tt0583647,Monica rolls her eyes to Ross.,He rolls his eyes to him.,['He rolls his eyes to him.']
17,tt0583647,"She hands him the broom, then plops on the couch.","She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']"
18,tt0583647,"He stands behind the couch, gazing down at her.","He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']"
19,tt0583647,"She leans her head back on the couch, then gently rests it against his hand.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']"
20,tt0583647,"He awkwardly pulls over a stool without moving his hand, then sits.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']"
21,tt0583647,"At a doctor's office, a plastic model shows a baby in a womb.","At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]"
22,tt0583647,Carol sits on the exam table as Ross hurries in.,He sits on the exam table as he hurries in.,"['He sits on the exam table.', 'He hurries in.']"
23,tt0583647,Susan steps in.,She steps in.,['She steps in.']
24,tt0583647,Susan hands him a juice box.,She hands him a juice box.,['She hands him a juice box.']
25,tt0583647,He passes it to Carol.,He passes it to her.,['He passes it to her.']
26,tt0583647,She sips it as Susan takes a seat.,She sips it as she takes a seat.,"['She sips it.', 'She takes a seat.']"
