cmd_filename,imdbid,movie,movie_title,shot_list
2014/ewEreSjPyC4,tt0042208,7212,The Asphalt Jungle,"[(0.01, 7.539000000000001), (7.559, 9.833), (9.853, 16.048), (16.068, 21.22), (21.240000000000002, 30.604), (30.624000000000002, 35.359), (35.379, 40.656), (40.675999999999995, 43.867000000000004), (43.887, 60.259), (60.278999999999996, 65.472), (65.492, 72.854), (72.87400000000001, 76.73299999999999), (76.753, 82.03)]"
2014/48kV7uKAzEU,tt0042208,7212,The Asphalt Jungle,"[(0.01, 34.443000000000005), (34.463, 49.751000000000005), (49.771, 118.032)]"
2014/-nboVp_nTkg,tt0042208,7212,The Asphalt Jungle,"[(0.01, 9.917), (9.937, 13.713000000000001), (13.733, 35.528), (35.547999999999995, 43.995000000000005), (44.015, 45.789), (45.809, 55.966), (55.986, 58.219), (58.239, 59.72), (59.739999999999995, 96.384), (96.40400000000001, 103.851), (103.87100000000001, 105.10199999999999), (105.122, 117.657), (117.677, 119.65899999999999), (119.679, 126.041)]"
2014/cUEc9ZF3G3M,tt0042208,7212,The Asphalt Jungle,"[(0.01, 3.2020000000000004), (3.222, 5.662), (5.6819999999999995, 9.291), (9.311, 11.793000000000001), (11.813, 19.508999999999997), (19.529, 30.311999999999998), (30.332, 33.148), (33.168, 39.696000000000005), (39.716, 46.745000000000005), (46.765, 68.642), (68.662, 70.64399999999999), (70.664, 72.521), (72.54100000000001, 79.44399999999999), (79.464, 89.871), (89.891, 93.95899999999999), (93.979, 99.464), (99.48400000000001, 101.8), (101.82000000000001, 120.152), (120.17200000000001, 127.868), (127.888, 129.578), (129.59799999999998, 131.496), (131.516, 140.38), (140.39999999999998, 144.84300000000002), (144.863, 153.018), (153.03799999999998, 164.071), (164.09099999999998, 167.741), (167.761, 171.495), (171.515, 175.999), (176.01899999999998, 180.04500000000002)]"
2014/EkRzpc98bwc,tt0042208,7212,The Asphalt Jungle,"[(0.01, 8.249), (8.269, 11.753), (11.773, 14.005), (14.025, 16.840999999999998), (16.861, 21.011999999999997), (21.032, 24.808), (24.828000000000003, 37.029), (37.049, 39.657000000000004), (39.677, 50.419000000000004), (50.439, 62.056000000000004)]"
2014/GllksI139DM,tt0042208,7212,The Asphalt Jungle,"[(0.01, 41.242000000000004), (41.262, 66.05999999999999)]"
2014/2RA-7QUYrHA,tt0042208,7212,The Asphalt Jungle,"[(0.01, 5.329000000000001), (5.349, 11.878), (11.898, 15.882), (15.902, 24.266), (24.286, 38.698), (38.717999999999996, 79.033)]"
2014/Mlv16s4DxwI,tt0042208,7212,The Asphalt Jungle,"[(0.01, 6.246), (6.266, 11.168000000000001), (11.188, 14.338000000000001), (14.358, 22.011999999999997), (22.032, 35.776), (35.796, 43.951), (43.971, 46.620000000000005), (46.64, 50.874), (50.894, 73.021), (73.04100000000001, 76.35799999999999), (76.378, 83.323), (83.343, 97.12899999999999), (97.149, 106.26299999999999), (106.283, 116.648), (116.668, 121.23599999999999), (121.256, 145.92700000000002), (145.947, 152.726), (152.74599999999998, 155.89600000000002), (155.916, 158.023)]"
2014/3SYMh5owQcA,tt0042208,7212,The Asphalt Jungle,"[(0.01, 14.172), (14.192, 17.592), (17.612000000000002, 26.435), (26.455000000000002, 36.904), (36.924, 44.913000000000004), (44.933, 51.253), (51.272999999999996, 55.591), (55.611, 61.556000000000004), (61.576, 65.351), (65.37100000000001, 74.987), (75.007, 78.073), (78.093, 102.14099999999999), (102.161, 114.237), (114.257, 138.054)]"
2014/p2fHtpp_umI,tt0042208,7212,The Asphalt Jungle,"[(0.01, 5.037), (5.0569999999999995, 7.915), (7.935, 8.958), (8.978, 10.877), (10.897, 12.086), (12.106, 14.464), (14.484, 26.31), (26.330000000000002, 29.063), (29.083000000000002, 29.772), (29.792, 31.148), (31.168000000000003, 34.11), (34.129999999999995, 35.528), (35.547999999999995, 40.909), (40.928999999999995, 49.167), (49.187, 53.422000000000004), (53.442, 56.258), (56.278, 60.68), (60.699999999999996, 63.224000000000004), (63.244, 64.309), (64.32900000000001, 73.235), (73.25500000000001, 89.544), (89.56400000000001, 96.134), (96.15400000000001, 106.145), (106.165, 109.732), (109.75200000000001, 112.443), (112.46300000000001, 115.154), (115.174, 121.036)]"
