index,text_gt,text_gt_wo_char
0,The Enterprise stops.,It stops.
1,The captain stares at the screen as behind him a bright light shines and a man in old period attire appears.,He stares at the screen as behind him a bright light shines and a man in old period attire appears.
4,The captain frowns at him.,He frowns at him.
5,Stay where thou art.,Stay where thou art.
6,The dark-haired man raises a phaser.,He raises a phaser.
7,A white mist blasts up at the man.,A white mist blasts up at him.
8,"Now frozen, he falls to the floor as Data, the captain, and the long-haired woman run over.","Now frozen, he falls to the floor as they run over."
10,The captain frowns.,He frowns.
11,"In space, the shield hangs before the Enterprise.","In space, it hangs before it."
13,Who paces around.,Who paces around.
14,The white Flash appears and suddenly Q stands wearing military attire.,He appears and suddenly he stands wearing military attire.
16,The white light appears again and the man wears a black militant uniform.,The white light appears again and he wears a black militant uniform.
18,The alien steps forward.,He steps forward.
19,Q walks over to him.,He walks over to him.
20,The short-haired woman looks angered.,She looks angered.
21,The short-haired Lieutenant Yarkin poses herself as Q pulls a device and puts it into his nose.,He poses himself as he pulls a device and puts it into his nose.
23,"Smiling, Hugh salutes and disappears in the white flash.","Smiling, he salutes and disappears in the white flash."
26,Lieutenant Worf steps forward.,He steps forward.
27,Yar leans forward.,He leans forward.
28,The captain peers at the long-haired woman.,He peers at the long-haired woman.
29,He glances around thoughtfully.,He glances around thoughtfully.
30,ER nods.,He nods.
31,He turns to Worf.,He turns to him.
32,Data looks pensive.,He looks pensive.
33,He raises his eyebrows.,He raises his eyebrows.
34,The captain peers at his crew.,He peers at his crew.
35,"In space, the Enterprise faces the shield.","In space, it faces the shield."
36,"On the bridge, Worf walks up to the captain.","On the bridge, he walks up to him."
37,The captain walks up to his seat and settles in it.,He walks up to his seat and settles in it.
39,The Enterprise quickly veers to the right and flies along the shield.,It quickly veers to the right and flies along the shield.
41,Warp and data sit at the helm.,They sit at the helm.
42,The captain stares at the view screen.,He stares at the view screen.
43,He turns to the long-haired woman.,He turns to her.
44,She shrugs.,She shrugs.
45,The captain leans forward as the view screen displays the sphere as it gains on them.,The captain leans forward as the view screen displays the sphere as it gains on them.
47,"The image zooms in, revealing the golden sphere with a blue interior.","The image zooms in, revealing the golden sphere with a blue interior."
49,Yarlik's concerned as she stands at her controls.,Her concerned as she stands at her controls.
50,Data appears at him.,Data appears at him.
51,The stunned crew looks at their captain.,The stunned crew looks at their captain.
52,"Worf turns to his captain, then gets to his feet.","He turns to his captain, then gets to his feet."
54,Yarr walks down a ramp as Data and Worf stand from the helm.,He walks down a ramp as they stand from the helm.
56,The captain pushes his communication button.,He pushes his communication button.
57,The turbo lift doors close.,The turbo lift doors close.
58,"In space, the Enterprise flies quickly as people bustle about the hallways.","In space, it flies quickly as people bustle about the hallways."
60,Data and a short-haired man sit at the helm.,He sits at the helm.
61,"Meanwhile, dozens of people walk down a hallway as a dark-haired man guides them.","Meanwhile, dozens of people walk down a hallway as he guides them."
63,"On the bridge, Worf sits in the captain's chair.","On the bridge, he sits in the captain's chair."
65,Torpedoes shoot out from the Enterprise.,Torpedoes shoot out from it.
66,The crew watches wide-eyed.,They watches wide-eyed.
67,"In space, as the Enterprise continues to fly, the saucer-like section of the ship pulls away from the star drive.","In space, as it continues to fly, the saucer-like section of the ship pulls away from the star drive."
69,The crew looks intense as they watch the top of the ship pull away.,The crew looks intense as they watch the top of the ship pull away.
70,The captain puts his hand to his mouth.,He puts his hand to his mouth.
71,The star drive section of the ship turns right.,The star drive section of the ship turns right.
72,"On the view screen, fiery explosions blast in the distance.","On the view screen, fiery explosions blast in the distance."
73,The counselor sits at her controls as the ship stops.,She sits at her controls as the ship stops.
74,The captain sits back in his seat.,He sits back in his seat.
75,"On the view screen, the sphere flies towards the ship as the captain stands.","On the view screen, the sphere flies towards the ship as he stands."
77,Khan and Data exchange looks.,They exchange looks.
78,The counselor operates her controls as the captain stares at the screen.,He operates his controls as he stares at the screen.
80,"Suddenly, outside, the shield deploys around the whole ship.","Suddenly, outside, it deploys around the whole ship."
82,The captain stands sternly as the ship shakes.,He stands sternly as the ship shakes.
84,Yar steadies herself as Data and Khan stare ahead.,She steadies herself as he and he stare ahead.
86,"Suddenly, a white light flashes.","Suddenly, a white light flashes."
87,"The captain, the counselor, Data, and Yar stand in a room.",They stand in a room.
88,A red flag adorned with a black bird hangs behind them.,A red flag adorned with a black bird hangs behind them.
89,"They glance around as dozens of people sit on wooden stands, jostling each other.","They glance around as dozens of people sit on wooden stands, jostling each other."
91,"Suddenly, the remaining unseated people hurry to their places.","Suddenly, the remaining unseated people hurry to their places."
92,The captain holds a hand to his crew.,He holds a hand to his crew.
93,He sits and Yar follows suit.,He sits and he follows suit.
95,The goateed man stares at them.,He stares at them.
96,The citizens in the stands get to their feet.,They get to their feet.
97,A heavy-set man in the militant uniform holds a weapon emitting a stream of fire.,A heavy-set man in the militant uniform holds a weapon emitting a stream of fire.
98,The heavy-set guard steps away.,He steps away.
99,The crew stares intensely as a platform moves down a hallway toward them.,They stare intensely as a platform moves down a hallway toward them.
100,Q sits atop the platform.,He sits atop the platform.
101,He wears a red robe with a golden necklace.,He wears a red robe with a golden necklace.
103,Data leans towards the captain.,He leans towards him.
104,Q looks at them ominously.,He looks at them ominously.
105,"In the foreign hearing room, the platform carrying Q rolls in as Data and Yar watch him closely.","In the foreign hearing room, the platform carrying him rolls in as they watch him closely."
107,Yar glares at him.,He glares at him.
108,He shoots down and she suddenly leaps up and kicks him.,He shoots down and she suddenly leaps up and kicks him.
111,The citizens look entertained as Yar whacks the guard on the back of his head.,The citizens look entertained as he whacks him on the back of his head.
113,He collapses to the floor.,He collapses to the floor.
114,The heavyset guard gapes as another guard walks up.,The heavyset guard gapes as another guard walks up.
116,The heavyset guard inhales a drug.,He inhales a drug.
117,He smiles as the other guard aims at him.,He smiles as the other guard aims at him.
118,The captain frowns as the guard dies.,He frowns as he dies.
120,A concerned Yar appears at the deranged citizens.,A concerned he appears at the deranged citizens.
121,Q smirks as he moves on his platform.,He smirks as he moves on his platform.
123,The guard wraps a rope around the dead body's foot and drags him away.,The guard wraps a rope around the dead body's foot and drags him away.
125,The crew stands.,They stand.
126,Yar looks at the captain.,He looks at him.
127,"He holds out his hand, and she joins them.","He holds out his hand, and she joins them."
129,The crew sits.,They sit.
130,A short man shakes a bell.,He shakes a bell.
131,The captain turns to Data.,He turns to him.
132,"Q leans forward, glaring.","He leans forward, glaring."
134,"Suddenly, the mist blasts over Tasha.","Suddenly, the mist blasts over her."
135,freezing her.,freezing her.
